neworold,ownership,status,lift_avail,car_parking_avail,Gas_conn_avail,age,area,balconies,bathroom,bhk,floor,place,price,price_per_sq
1,3,3,1,1,0,0,1279,2,2,2 BHK Apartment ,1,Kharadi,7610050,5950
1,3,3,1,1,0,0,670,2,1,1 BHK Apartment ,1,Sus,4100000,6119
1,3,3,1,1,0,2,956,2,2,2 BHK Apartment ,1,Bavdhan,5736000,6000
1,3,3,1,1,0,0,1015,2,2,2 BHK Apartment ,2,Mundhwa,4720765,4651
1,3,3,1,1,0,1,3725,2,5,4 BHK Apartment ,1,Viman Nagar,30172500,8100
1,3,3,1,1,0,0,450,2,1,1 BHK Apartment ,1,Baner,4000000,8889
1,3,3,1,1,1,0,1305,2,2,2 BHK Apartment ,2,Baner,9000000,6896
1,3,3,1,1,1,1,1155,2,2,2 BHK Apartment ,2,Hinjewadi,6443000,5578
1,3,3,1,1,1,0,2205,2,3,3 BHK Apartment ,10,Baner,25000000,11337
1,2,3,1,1,1,1,1170,1,2,2 BHK Apartment ,12,Kothrud,10100000,8632
1,3,3,1,1,0,0,2300,3,3,3 BHK Apartment ,10,Baner,24500000,10652
0,2,0,1,0,0,12,700,2,1,1 BHK Apartment ,1,Wanowrie,3350000,4785
1,3,3,1,1,0,2,1960,2,3,3 BHK Apartment ,6,Wakad,16000000,8163
0,3,1,1,1,0,1,1602,2,3,3 BHK Apartment ,6,Wakad,12000000,7490
1,2,3,0,1,0,1,1860,1,3,3 BHK Apartment ,9,Kothrud,15300000,8225
1,3,3,1,1,0,0,1500,1,2,3 BHK Apartment ,5,Hinjewadi,9000000,6000
1,3,3,1,1,1,0,2527,3,3,3 BHK Apartment ,4,Baner,14800000,5856
1,3,3,1,1,0,1,1206,2,2,2 BHK Apartment ,8,Baner,8900000,7379
1,2,3,1,1,1,1,2036,2,4,3 BHK Apartment ,10,Bavdhan,18000000,8840
0,3,1,1,1,0,0,3030,2,4,4 BHK Apartment ,11,Baner,35000000,11551
1,2,3,0,0,0,0,2653,2,4,4 BHK Apartment ,16,Kothrud,31836000,12000
1,2,3,0,0,0,0,1930,2,5,4 BHK Apartment ,18,Kothrud,23160000,12000
0,3,0,1,1,0,0,1000,2,2,2 BHK Apartment ,1,Baner,6350000,6350
1,3,3,1,1,1,0,1641,2,3,3 BHK Apartment ,3,Baner,12000000,7312
0,3,1,1,1,0,2,2600,3,4,4 BHK Apartment ,2,Wakad,25000000,9615
1,3,3,1,1,0,0,990,2,2,2 BHK Apartment ,4,Baner,6500000,6565
1,3,3,1,1,0,0,1001,2,2,2 BHK Apartment ,2,Baner,6150000,6143
1,3,3,1,1,1,0,1400,2,3,3 BHK Apartment ,1,Baner,11500000,8214
0,3,1,1,1,0,2,1610,1,3,3 BHK Apartment ,7,Wakad,13100000,8136
1,3,3,1,1,0,0,2500,3,3,3 BHK Apartment ,4,Baner,18000000,7200
1,3,3,1,1,1,0,1225,2,2,2 BHK Apartment ,3,Hinjewadi,6260000,5110
0,3,1,1,1,1,6,2800,3,4,3 BHK Villa ,1,Wakad,21000000,7500
0,3,1,1,1,1,0,1910,2,3,3 BHK Apartment ,10,Baner,14500000,7591
1,3,3,1,1,1,1,1151,2,2,2 BHK Apartment ,1,Hinjewadi,6442301,5597
0,3,1,1,1,0,1,3575,1,4,4 BHK Apartment ,2,Baner,47500000,13286
1,3,3,1,1,0,1,1032,2,2,2 BHK Apartment ,1,Undri,4437600,4300
0,3,1,1,1,1,0,1206,2,2,2 BHK Apartment ,2,Baner,8800000,7296
1,3,3,1,1,1,0,1225,2,2,2 BHK Apartment ,1,Hinjewadi,5892000,4809
0,3,1,1,1,1,2,1050,2,2,2 BHK Apartment ,7,Bavdhan,7500000,7142
